Range,Temp,Humid,Hight,HA_Start,HA_End,VA_Start,VA_End
6305,-11.8,50.0,3060,8,17,4,55
6597,-12.6,50.0,3205,8,41,4,56
6969,-13.5,50.0,3351,8,57,4,53
7280,-13.3,50.0,3483,8,77,4,51
7563,-14.7,50.0,3620,8,88,4,52
7909,-15.6,50.0,3754,9,10,4,49
8278,-16.0,50.0,3890,9,29,4,45
8631,-17.1,50.0,4030,9,46,4,43
8995,-17.8,50.0,4169,9,57,4,40
9323,-18.8,50.0,4314,9,64,4,40
9766,-19.9,50.0,4460,9,69,4,34
10265,-20.8,50.0,4599,9,70,4,26
10747,-22.2,50.0,4732,9,73,4,19
11100,-23.2,50.0,4868,9,74,4,17
11603,-24.2,50.0,5003,9,76,4,10
240,4.7,50.0,299,1,68,5,44
498,3.6,50.0,428,2,52,5,21
776,2.7,50.0,557,3,21,4,99
1149,2.0,50.0,687,4,7,4,45
1431,2.0,50.0,816,4,26,4,47
1744,1.2,50.0,979,4,34,4,60
2034,0.6,50.0,1108,4,63,4,58
2318,0.3,50.0,1229,4,77,4,53
2589,-0.5,50.0,1358,4,94,4,55
2953,-1.2,50.0,1525,5,50,4,55
3335,-1.6,50.0,1688,5,87,4,51
3718,-2.3,50.0,1872,5,79,4,54
3934,-2.9,50.0,1992,5,77,4,60
4218,-3.4,50.0,2110,5,99,4,56
4360,-5.7,50.0,2178,6,13,4,57
4531,-6.2,50.0,2285,6,18,4,64
4798,-7.0,50.0,2439,6,31,4,71
5067,-7.5,50.0,2573,6,43,4,72
5427,-8.2,50.0,2712,6,52,4,66
5461,-8.9,50.0,2745,6,50,4,69
5853,-9.4,50.0,2899,6,59,4,63
6060,-10.4,50.0,2989,6,88,4,62
6352,-11.6,50.0,3175,6,87,4,71
6714,-12.5,50.0,3301,7,0,4,63
6995,-13.5,50.0,3428,7,16,4,63
7232,-14.5,50.0,3557,7,33,4,66
7511,-15.6,50.0,3684,7,43,4,65
7737,-16.7,50.0,3826,7,63,4,70
8025,-17.6,50.0,3963,7,83,4,70
8334,-18.7,50.0,4100,8,2,4,69
8647,-19.9,50.0,4242,8,22,4,68
8880,-20.5,50.0,4376,8,61,4,71
9209,-21.4,50.0,4507,8,77,4,68
9472,-22.4,50.0,4637,9,5,4,69
9715,-23.7,50.0,4776,9,41,4,72
10055,-24.7,50.0,4910,9,69,4,69
10320,-25.3,50.0,5052,10,4,4,71
10571,-26.3,50.0,5199,10,9,4,73
10916,-27.4,50.0,5347,10,16,4,72
11224,-28.9,50.0,5485,10,22,4,71
164,21.9,41.0,258,34,91,7,62
327,20.0,43.0,375,33,32,7,64
467,18.5,44.0,493,30,8,8,15
643,16.9,46.0,610,28,31,7,82
797,15.2,48.0,728,27,44,7,89
1037,13.5,50.0,896,27,14,7,78
1336,11.8,52.0,1103,26,76,7,68
1572,9.9,54.0,1272,26,71,7,67
1835,8.1,57.0,1466,26,68,7,70
2024,6.7,60.0,1572,26,81,7,50
2297,5.6,60.0,1744,27,2,7,38
2549,6.1,48.0,1909,27,38,7,32
2841,5.8,39.0,2065,27,63,7,10
3139,5.6,39.0,2226,27,97,6,94
3446,5.5,31.0,2387,28,25,6,78
3761,4.7,27.0,2560,28,34,6,67
4076,3.6,26.0,2748,28,34,6,63
4396,2.5,25.0,2926,28,32,6,55
4782,2.0,27.0,3121,28,31,6,42
5132,1.5,28.0,3321,28,24,6,38
5628,0.8,32.0,3613,28,12,6,35
6099,0.7,30.0,3709,28,8,5,97
6503,0.2,26.0,3779,28,1,5,67
7152,-0.8,25.0,3932,27,88,5,34
7719,-1.9,32.0,4082,27,70,5,12
8083,-2.7,37.0,4241,27,62,5,8
8524,-3.7,40.0,4406,27,50,5,0
9036,-5.4,40.0,4570,27,46,4,89
9523,-6.9,41.0,4729,27,39,4,80
9989,-8.3,42.0,4892,27,34,4,73
10287,-10.1,43.0,5054,27,24,4,75
10709,-11.4,44.0,5232,27,9,4,73
11412,-12.7,45.0,5393,27,6,4,57
11920,-13.8,45.0,5555,26,94,4,50
12488,-15.1,45.0,5717,26,87,4,42
12916,-16.8,46.0,5887,26,82,4,40
13456,-17.8,45.0,6058,26,76,4,35
14122,-19.0,43.0,6226,26,71,4,25
14808,-20.1,40.0,6389,26,78,4,16
15630,-21.5,38.0,6539,26,82,4,3
16574,-22.6,36.0,6681,26,86,3,87
17437,-24.0,35.0,6819,26,91,3,75
18143,-25.3,34.0,6954,26,93,3,68
18629,-26.5,33.0,7105,26,97,3,66
19686,-27.8,32.0,7250,27,15,3,53
20376,-29.3,32.0,7398,27,17,3,47
21152,-30.5,31.0,7545,27,17,3,40
418,22.0,41.0,377,30,65,4,46
856,19.8,43.0,565,30,62,4,34
1309,18.3,44.0,753,30,33,4,25
1609,16.7,46.0,941,29,61,4,64
1935,15.2,48.0,1128,28,81,4,84
2235,13.7,49.0,1288,28,59,4,91
2510,12.1,51.0,1439,28,35,4,98
2831,10.6,53.0,1591,28,19,4,95
3080,9.3,52.0,1716,28,0,4,96
3355,9.3,43.0,1860,27,99,4,98
3669,9.2,33.0,2006,28,4,4,95
3988,8.5,28.0,2188,27,92,5,1
4301,7.4,26.0,2356,27,79,5,4
4598,6.3,25.0,2521,27,57,5,8
4916,5.3,25.0,2678,27,41,5,7
5268,4.3,30.0,2824,27,34,5,0
5605,3.3,33.0,2943,27,35,4,90
6052,2.4,33.0,3128,27,35,4,84
6466,2.0,30.0,3229,27,40,4,67
6936,2.2,27.0,3371,27,41,4,55
7367,1.4,36.0,3490,27,32,4,44
7845,0.5,40.0,3641,27,24,4,35
8320,-0.5,41.0,3767,27,13,4,25
8850,-1.6,42.0,3918,27,8,4,15
9397,-2.5,43.0,4067,27,3,4,6
9966,-3.5,43.0,4211,27,2,3,97
10473,-4.4,42.0,4357,26,99,3,91
11014,-4.8,39.0,4500,26,92,3,84
11585,-5.8,37.0,4645,26,90,3,77
12176,-6.8,37.0,4789,26,88,3,70
12898,-7.7,37.0,4930,26,88,3,59
13562,-8.8,36.0,5069,26,89,3,52
14221,-9.8,36.0,5206,26,89,3,44
15029,-10.8,36.0,5337,26,89,3,34
15648,-11.9,36.0,5466,26,90,3,28
16344,-12.7,36.0,5591,26,88,3,22
17091,-13.3,36.0,5711,26,81,3,14
17662,-14.2,35.0,5830,26,77,3,10
18316,-14.9,34.0,5947,26,72,3,5
19082,-15.3,32.0,6056,26,67,2,98
19570,-16.2,30.0,6171,26,67,2,97
20174,-17.3,29.0,6285,26,65,2,93
20927,-18.4,28.0,6393,26,65,2,86
21672,-19.4,28.0,6500,26,60,2,81
22469,-20.5,28.0,6600,26,61,2,75
22921,-21.5,28.0,6705,26,58,2,74
23348,-22.6,28.0,6812,26,56,2,73
23975,-23.7,28.0,6920,26,59,2,71
24687,-24.9,29.0,7024,26,60,2,67
25569,-26.2,30.0,7124,26,61,2,61
26378,-27.2,31.0,7215,26,65,2,56
26977,-28.1,31.0,7304,26,67,2,54
27567,-29.2,31.0,7398,26,68,2,51
28272,-30.2,31.0,7490,26,70,2,48
29188,-31.1,31.0,7573,26,71,2,43
29764,-32.2,31.0,7656,26,70,2,41
30598,-33.1,31.0,7737,26,71,2,36
31126,-34.2,30.0,7821,26,72,2,35
31945,-35.3,31.0,7900,26,71,2,31
32511,-36.3,31.0,7983,26,71,2,29
33234,-37.0,32.0,8064,26,71,2,27
33915,-37.7,32.0,8151,26,72,2,25
34508,-38.7,33.0,8241,26,72,2,23
35641,-39.6,34.0,8318,26,75,2,18
36626,-40.4,,8392,26,75,2,14
37148,-41.3,,8467,26,79,2,13
37961,-42.3,,8540,26,81,2,10
38767,-43.3,,8615,26,82,2,7
39193,-44.2,,8692,26,84,2,7
40059,-45.2,,8772,26,88,2,4
40653,-46.2,,8850,26,89,2,3
41293,-47.4,,8936,26,90,2,2
41893,-48.4,,9027,26,91,2,1
43670,-49.3,,9095,26,98,1,94
44282,-49.9,,9169,26,99,1,93
44670,-50.8,,9253,27,2,1,93
45435,-50.9,,9334,27,5,1,91
46342,-51.4,,9418,27,7,1,89
46901,-51.3,,9504,27,8,1,88
48094,-50.8,,9588,27,11,1,85
48269,-50.4,,9675,27,12,1,86
48530,-50.6,,9767,27,11,1,87
48494,-50.3,,9870,27,7,1,89
47878,-50.1,,9997,27,0,1,94
47845,-50.3,,10136,26,96,1,97
47410,-50.5,,10290,26,85,2,2
48624,-48.9,,10443,26,78,2,0
49065,-47.8,,10592,26,68,2,1
49660,-47.6,,10749,26,62,2,2
50880,-47.9,,10889,26,55,1,99
51410,-47.9,,11032,26,51,2,0
52193,-47.0,,11173,26,47,1,99
52354,-46.1,,11326,26,45,2,2
53060,-46.2,,11470,26,39,2,2
53602,-46.8,,11618,26,34,2,2
54255,-47.1,,11763,26,29,2,2
54392,-47.7,,11914,26,19,2,4
54792,-48.0,,12064,26,14,2,5
55309,-48.1,,12213,26,7,2,6
56111,-49.2,,12355,26,1,2,6
56213,-50.1,,12503,25,92,2,8
57298,-50.2,,12641,25,88,2,6
57333,-50.2,,12786,25,80,2,8
57282,-50.1,,12939,25,70,2,11
57938,-49.9,,13092,25,62,2,11
58721,-50.5,,13231,25,58,2,11
59293,-49.8,,13365,25,54,2,11
59307,-50.6,,13508,25,49,2,13
59386,-51.2,,13654,25,43,2,15
59831,-51.7,,13795,25,36,2,16
60283,-51.3,,13933,25,27,2,16
60525,-51.6,,14076,25,21,2,18
61036,-51.7,,14217,25,19,2,18
61905,-51.9,,14349,25,12,2,17
62590,-52.4,,14460,25,8,2,16
62202,-52.8,,14575,25,1,2,20
62523,-53.3,,14695,24,99,2,20
63338,-53.3,,14814,24,94,2,19
63090,-52.8,,14940,24,86,2,22
63467,-52.9,,15067,24,83,2,23
64470,-52.9,,15186,24,81,2,21
64796,-54.0,,15302,24,80,2,21
65101,-55.0,,15415,24,78,2,22
65394,-55.7,,15526,24,77,2,23
65677,-55.9,,15634,24,75,2,23
65944,-55.5,,15740,24,74,2,24
65371,-54.5,,15865,24,72,2,28
66220,-54.8,,15980,24,67,2,26
65463,-54.1,,16124,24,67,2,31
65840,-53.7,,16258,24,63,2,32
66047,-54.0,,16383,24,60,2,33
65890,-54.5,,16517,24,62,2,35
66272,-54.3,,16651,24,60,2,36
66849,-55.1,,16772,24,59,2,36
66216,-55.0,,16911,24,55,2,40
66293,-53.9,,17048,24,54,2,42
66514,-53.8,,17187,24,55,2,43
66887,-54.1,,17325,24,53,2,44
67689,-54.6,,17445,24,54,2,42
66971,-55.4,,17584,24,52,2,47
67342,-55.1,,17714,24,52,2,48
67014,-54.3,,17859,24,50,2,51
67669,-53.5,,18000,24,52,2,51
68253,-52.0,,18139,24,55,2,50
68885,-51.6,,18265,24,57,2,50
68492,-51.8,,18402,24,58,2,53
67995,-52.0,,18551,24,55,2,57
68458,-52.4,,18680,24,56,2,57
67631,-53.4,,18827,24,53,2,63
67831,-53.5,,18965,24,52,2,64
67620,-52.8,,19107,24,54,2,67
67339,-51.9,,19263,24,53,2,71
68088,-51.8,,19416,24,56,2,70
68126,-52.2,,19589,24,56,2,72
68346,-52.2,,19772,24,58,2,74
68881,-52.0,,19953,24,58,2,74
68621,-51.2,,20146,24,55,2,78
68785,-51.4,,20335,24,57,2,80
69367,-50.8,,20506,24,59,2,80
69711,-51.0,,20666,24,61,2,81
69423,-50.5,,20828,24,62,2,84
69441,-50.3,,20981,24,63,2,87
70129,-50.2,,21103,24,63,2,86
69763,-49.7,,21226,24,67,2,89
69990,-49.4,,21331,24,69,2,89
70182,-49.7,,21420,24,70,2,90
70769,-49.9,,21480,24,70,2,88
70062,-50.3,,21551,24,71,2,92
70032,-49.8,,21610,24,70,2,93
69569,-49.6,,21673,24,73,2,96
69380,-49.4,,21731,24,76,2,98
69028,-49.0,,21789,24,78,3,0
69839,-48.2,,21809,24,75,2,97
68963,-49.7,,21844,24,79,3,2
68558,-50.3,,21880,24,77,3,4
68560,-49.3,,21902,24,85,3,4
69293,-49.1,,21885,24,93,3,1
69656,-50.2,,21840,25,2,2,99
67435,-50.1,,21004,25,10,2,96
67835,-50.5,,20949,25,20,2,94
68936,-51.6,,20856,25,27,2,87
69263,-52.0,,20753,25,31,2,84
69934,-52.9,,20637,25,36,2,80
68562,-52.7,,19673,25,38,2,72
68516,-53.2,,19523,25,36,2,70
70451,-52.3,,19309,25,37,2,59
68370,-54.0,,18165,25,40,2,51
68807,-55.1,,17930,25,40,2,46
70178,-53.8,,17648,25,39,2,37
503,19.7,46.0,414,45,24,5,26
1415,19.1,50.0,660,45,19,3,52
2030,18.4,54.0,906,47,20,3,64
2197,17.2,55.0,1151,45,54,4,52
2469,16.1,55.0,1397,45,40,5,5
2580,14.6,57.0,1541,45,56,5,44
2617,13.2,60.0,1655,45,63,5,85
2735,12.0,62.0,1847,45,82,6,39
2752,10.7,63.0,1998,45,75,7,3
2772,9.4,65.0,2122,45,72,7,56
2791,8.0,66.0,2267,45,58,8,22
2806,7.8,63.0,2366,45,17,8,69
2931,7.1,56.0,2576,44,74,9,31
2957,5.9,58.0,2695,44,24,9,90
3020,5.0,61.0,2845,44,2,10,53
3138,3.8,63.0,3047,43,74,11,23
3196,3.1,61.0,3188,42,59,11,99
3346,1.9,60.0,3372,42,42,12,39
3415,0.9,59.0,3466,42,56,12,70
3527,0.2,58.0,3595,44,22,12,94
3672,-0.1,53.0,3752,45,59,13,13
3790,-0.5,47.0,3877,47,48,13,26
3927,-1.1,44.0,4023,48,74,13,41
4087,-1.1,40.0,4174,49,72,13,32
4274,-1.8,38.0,4345,50,42,13,17
4445,-2.6,36.0,4496,51,27,12,98
4617,-4.1,36.0,4645,51,90,12,80
4808,-4.7,36.0,4800,52,9,12,55
4988,-5.9,35.0,4956,52,37,12,41
5168,-7.3,35.0,5109,52,53,12,28
5359,-8.6,35.0,5268,52,79,12,12
5551,-9.7,35.0,5427,52,96,11,99
5753,-10.2,35.0,5579,53,2,11,78
5970,-11.0,33.0,5740,53,20,11,58
6196,-12.2,32.0,5904,53,53,11,37
6434,-13.2,32.0,6060,54,4,11,12
6722,-14.5,31.0,6225,54,21,10,78
7041,-16.0,30.0,6385,54,42,10,39
7349,-17.1,30.0,6547,54,49,10,9
7693,-18.6,29.0,6700,54,67,9,73
8055,-19.9,29.0,6856,54,77,9,39
8432,-21.1,30.0,7013,54,91,9,8
8839,-22.3,29.0,7170,54,93,8,76
9274,-23.3,28.0,7323,55,6,8,44
9686,-24.6,27.0,7477,55,9,8,19
10143,-25.9,27.0,7633,55,15,7,92
10611,-27.3,26.0,7788,55,25,7,67
11100,-28.7,26.0,7937,55,29,7,42
11585,-30.0,26.0,8087,55,30,7,21
12054,-31.2,26.0,8232,55,33,7,2
12506,-31.8,26.0,8380,55,31,6,86
12989,-32.9,27.0,8523,55,31,6,69
13461,-34.0,27.0,8665,55,32,6,54
13940,-35.3,27.0,8806,55,33,6,40
14387,-36.4,27.0,8946,55,33,6,28
14877,-37.4,26.0,9086,55,32,6,15
15427,-38.6,26.0,9223,55,35,6,0
16008,-39.9,26.0,9358,55,37,5,85
16595,-41.1,,9486,55,45,5,71
17076,-42.5,,9617,55,43,5,61
17519,-43.9,,9747,55,44,5,54
17791,-44.9,,9883,55,41,5,53
18074,-45.9,,10024,55,39,5,52
18367,-46.9,,10169,55,36,5,51
18668,-47.9,,10318,55,33,5,50
18912,-49.0,,10464,55,26,5,51
19158,-50.2,,10616,55,18,5,52
19518,-51.5,,10765,55,16,5,49
19794,-52.8,,10921,55,15,5,48
20214,-54.1,,11071,55,16,5,44
20595,-55.3,,11218,55,19,5,41
21005,-56.5,,11355,55,20,5,36
21283,-57.2,,11498,55,21,5,36
21404,-57.1,,11650,55,16,5,41
21701,-56.7,,11798,55,17,5,40
22101,-57.4,,11934,55,27,5,36
22508,-54.7,,12062,55,42,5,32
22739,-52.0,,12184,55,60,5,32
22863,-52.2,,12308,55,82,5,34
22974,-52.0,,12436,56,2,5,38
22929,-51.8,,12559,56,19,5,45
23000,-52.1,,12691,56,34,5,50
23045,-52.5,,12821,56,51,5,55
23167,-52.7,,12948,56,76,5,58
23203,-53.1,,13087,57,2,5,64
23385,-52.7,,13228,57,29,5,66
23443,-52.6,,13374,57,56,5,71
23640,-52.5,,13510,57,87,5,72
23664,-53.5,,13625,58,13,5,77
23776,-53.8,,13753,58,35,5,81
23869,-53.8,,13895,58,56,5,85
